Product,Colour,Picture,Care Instructions
Wool-blend slim-fit trench coat with detachable teddy collar,Black,"https://images.hugoboss.com/is/image/boss/hbeu50448575_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448575_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448575_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448575_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448575_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448575_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448575_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Monogram-motif slim-fit coat with water-repellent finish,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50444054_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444054_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444054_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444054_402_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444054_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444054_402_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444054_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Hooded loungewear jacket with contrast tape and logo,"Dark Blue, Grey","https://images.hugoboss.com/is/image/boss/hbeu50452283_403_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452283_403_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452283_403_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452283_403_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452283_403_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C mild wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit trench coat with logo lining,Turquoise,"https://images.hugoboss.com/is/image/boss/hbeu50444404_355_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444404_355_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444404_355_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444404_355_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444404_355_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444404_355_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444404_355_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Water-repellent down coat with detachable faux-fur trim,"Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50444455_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_404_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Water-repellent down coat with detachable faux-fur trim,"Black, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50444455_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444455_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Water-repellent packable coat with stand collar,Black,"https://images.hugoboss.com/is/image/boss/hbeu50450011_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450011_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450011_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450011_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450011_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450011_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450011_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Do not chemical dry clean, Mild professional wet clean"
Water-repellent overcoat in melange fabric with quilted lining,Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50448973_078_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448973_078_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448973_078_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448973_078_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448973_078_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448973_078_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448973_078_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Slim-fit cotton-blend coat with detachable inner,Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50452097_078_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452097_078_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452097_078_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452097_078_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452097_078_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452097_078_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452097_078_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Water-repellent trench coat with adjustable belt,"Beige, Dark Blue, Dark Green","https://images.hugoboss.com/is/image/boss/hbeu50446304_264_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_264_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_264_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_264_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_264_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_264_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_264_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Regular-fit coat in melange canvas with stretch,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50449993_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449993_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449993_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449993_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449993_402_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449993_402_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449993_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Do not chemical dry clean, Very mild professional wet clean"
Slim-fit coat in melange yarn with stand collar,Dark Grey,"https://images.hugoboss.com/is/image/boss/hbeu50449992_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449992_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449992_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449992_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449992_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449992_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449992_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Water-repellent trench coat with adjustable belt,"Dark Green, Dark Blue, Beige","https://images.hugoboss.com/is/image/boss/hbeu50446304_306_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_306_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_306_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_306_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_306_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_306_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446304_306_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Tracksuit bottoms in cotton with contrast tape and logo,"Grey, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50452291_032_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452291_032_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452291_032_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452291_032_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452291_032_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C mild wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Zip-up loungewear jacket with logo and stripes,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50450058_403_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450058_403_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450058_403_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450058_403_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450058_403_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
French-terry-cotton hooded loungewear jacket with logo-tape trims,Black,"https://images.hugoboss.com/is/image/boss/hbeu50454641_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454641_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454641_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454641_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454641_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Loungewear T-shirt in stretch cotton,"Dark Purple, light pink, Light Blue, Blue, Blue, Dark Blue, White, White","https://images.hugoboss.com/is/image/boss/hbeu50381904_502_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50381904_502_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50381904_502_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50381904_502_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50381904_502_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Tumble Dry Low Heat, Iron Medium Heat, Do not chemical dry clean"
Two-pack of pyjama shorts in lightweight cotton poplin,"Turquoise, light pink, Turquoise, Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50454605_440_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50454605_440_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454605_440_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454605_440_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454605_440_340?$large$=&fit=crop,1&align=1,1","40°C mild wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Loungewear T-shirt in stretch cotton,"Blue, light pink, Dark Purple, Light Blue, Blue, Dark Blue, White, White","https://images.hugoboss.com/is/image/boss/hbeu50381904_428_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Tumble Dry Low Heat, Iron Medium Heat, Do not chemical dry clean"
Regular-fit loungewear top in stretch cotton jersey,"Dark Grey, Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50379006_011_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Tumble Dry Low Heat, Iron Medium Heat, Do not chemical dry clean"
Cotton tracksuit bottoms with logo and contrast pockets,Black,"https://images.hugoboss.com/is/image/boss/hbeu50461009_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Two-pack of pyjama shorts in lightweight cotton poplin,"Black, light pink, Turquoise, Turquoise, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50454605_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50454605_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454605_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454605_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454605_001_340?$large$=&fit=crop,1&align=1,1","40°C mild wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Stretch-cotton pyjamas with colour-blocked T-shirt,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50460864_467_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C mild wash, Do Not Bleach, Tumble Dry Low Heat, Iron Low Heat, Do not chemical dry clean"
Colour-block regular-fit loungewear jacket with logo,Dark Grey,"https://images.hugoboss.com/is/image/boss/hbeu50461012_025_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Stretch-cotton jersey pyjamas with branding,"Light Grey, Light Blue","https://images.hugoboss.com/is/image/boss/hbeu50460785_063_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Do not chemical dry clean"
Stretch-cotton jersey pyjamas with branding,"Light Blue, Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50460785_473_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Do not chemical dry clean"
Regular-fit loungewear sweatshirt with transparent logo,White,"https://images.hugoboss.com/is/image/boss/hbeu50450039_100_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450039_100_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450039_100_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450039_100_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450039_100_140?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450039_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Loungewear shorts in cotton with transparent logo,White,"https://images.hugoboss.com/is/image/boss/hbeu50450049_100_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450049_100_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450049_100_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450049_100_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450049_100_140?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450049_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Heavy-cotton dressing gown with outline logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50460279_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50460279_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50460279_001_310?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50460279_001_340?$large$=&fit=crop,1&align=1,1","40°C mild wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
French-terry tracksuit bottoms with side stripes,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50450056_403_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450056_403_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450056_403_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450056_403_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450056_403_140?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450056_403_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Logo-print pyjama shorts in stretch-cotton jersey,"Dark Blue, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50449829_406_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50449829_406_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449829_406_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449829_406_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449829_406_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449829_406_140?$large$=&fit=crop,1&align=1,1","40°C mild wash, Do Not Bleach, Tumble Dry Low Heat, Iron Low Heat, Do not chemical dry clean"
Slim-fit coat with branded inner placket,Black,"https://images.hugoboss.com/is/image/boss/hbeu50451124_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451124_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451124_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451124_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451124_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451124_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451124_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Logo pyjama set with contrast piping,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50451787_403_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50451787_403_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451787_403_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451787_403_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451787_403_340?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Tumble Dry Low Heat, Iron Low Heat, Gentle chemical dry cleaning P"
Pyjama trousers in stretch cotton with vertical logo,"Grey, Dark Blue, Dark Blue, Grey","https://images.hugoboss.com/is/image/boss/hbeu50442626_033_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50442626_033_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442626_033_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442626_033_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442626_033_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442626_033_140?$large$=&fit=crop,1&align=1,1","40°C mild wash, Do Not Bleach, Tumble Dry Low Heat, Iron Low Heat, Do not chemical dry clean"
Regular-fit coat in water-repellent recycled fabric,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50454042_405_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454042_405_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454042_405_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454042_405_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454042_405_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454042_405_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454042_405_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Three-in-one car coat with detachable vest,Black,"https://images.hugoboss.com/is/image/boss/hbeu50449192_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449192_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449192_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449192_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449192_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449192_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449192_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Very mild professional wet clean"
Slim-fit coat in water-repellent fabric,"Beige, Black","https://images.hugoboss.com/is/image/boss/hbeu50446303_264_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50446303_264_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_264_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_264_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_264_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_264_342?$large$=&fit=crop,1&align=1,1","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Professional wet clean"
Slim-fit coat in water-repellent fabric,"Black, Beige","https://images.hugoboss.com/is/image/boss/hbeu50446303_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446303_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean, Professional wet clean"
