Movie Name,Duration,Genre,Director Name,Top For Movies
The Wolf of Wall Street,3h,"Biography, Crime, Drama",Martin Scorsese,"Taxi Driver, Mean Streets, Goodfellas, The Age of Innocence"
Judgment at Nuremberg,2h 59min,"Drama, War",Stanley Kramer,"Judgment at Nuremberg, Guess Who's Coming to Dinner, Inherit the Wind, On the Beach"
Children of Heaven,1h 29min,"Drama, Family, Sport",Majid Majidi,"Children of Heaven, Baran, Sun Children, The Color of Paradise"
Howl's Moving Castle,1h 59min,"Animation, Adventure, Family",Hayao Miyazaki,"Spirited Away, My Neighbor Totoro, Howl's Moving Castle, Princess Mononoke"
All About Eve,2h 18min,Drama,Joseph L. Mankiewicz,"All About Eve, Cleopatra, A Letter to Three Wives, Guys and Dolls"
Unforgiven,2h 10min,"Drama, Western",Clint Eastwood,"Million Dollar Baby, Gran Torino, Unforgiven, The Bridges of Madison County"
Batman Begins,2h 20min,"Action, Adventure",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
Downfall,2h 36min,"Biography, Drama, History",Oliver Hirschbiegel,"The Experiment, Downfall, Five Minutes of Heaven, The Invasion"
Some Like It Hot,2h 1min,"Comedy, Music, Romance",Billy Wilder,"The Apartment, Some Like It Hot, Sabrina, Sunset Blvd."
Green Book,2h 10min,"Biography, Comedy, Drama",Peter Farrelly,"Green Book, There's Something About Mary, Dumb and Dumber, Osmosis Jones"
Yojimbo,1h 50min,"Action, Drama, Thriller",Akira Kurosawa,"The Hidden Fortress, Ran, Kagemusha, Seven Samurai"
Die Hard,2h 12min,"Action, Thriller",John McTiernan,"Die Hard, Rollerball, Predator, Last Action Hero"
Monty Python and the Holy Grail,1h 31min,"Adventure, Comedy, Fantasy",Terry Gilliam,"Brazil, Monty Python and the Holy Grail, The Meaning of Life, The Imaginarium of Doctor Parnassus"
Rashomon,1h 28min,"Crime, Drama, Mystery",Akira Kurosawa,"The Hidden Fortress, Ran, Kagemusha, Seven Samurai"
L.A. Confidential,2h 18min,"Crime, Drama, Mystery",Curtis Hanson,"L.A. Confidential, In Her Shoes, The Hand That Rocks the Cradle, Wonder Boys"
Ran,2h 42min,"Action, Drama, War",Akira Kurosawa,"The Hidden Fortress, Ran, Kagemusha, Seven Samurai"
Heat,2h 50min,"Crime, Drama, Thriller",Michael Mann,"The Insider, Collateral, The Last of the Mohicans, Manhunter"
Indiana Jones and the Last Crusade,2h 7min,"Action, Adventure",Steven Spielberg,"Schindler's List, E.T. the Extra-Terrestrial, Saving Private Ryan, Indiana Jones and the Raiders of the Lost Ark"
Up,1h 36min,"Animation, Adventure, Comedy",Pete Docter,"Up, Inside Out, Soul, Monsters, Inc."
For a Few Dollars More,2h 12min,Western,Sergio Leone,"Once Upon a Time in America, Duck You Sucker, The Good, the Bad and the Ugly, A Fistful of Dollars"
To Kill a Mockingbird,2h 9min,"Crime, Drama",Robert Mulligan,"To Kill a Mockingbird, Summer of '42, The Other, The Nickel Ride"
Toy Story 3,1h 43min,"Animation, Adventure, Comedy",Lee Unkrich,"Toy Story 2, Coco, Toy Story 3, Finding Nemo"
Incendies,2h 11min,"Drama, Mystery, War",Denis Villeneuve,"Blade Runner 2049, Arrival, Incendies, Sicario"
Snatch,1h 42min,"Comedy, Crime",Guy Ritchie,"Sherlock Holmes, Lock, Stock and Two Smoking Barrels, Snatch, The Man from U.N.C.L.E."
Scarface,2h 50min,"Crime, Drama",Brian De Palma,"Dressed to Kill, The Untouchables, Body Double, Femme Fatale"
Amélie,2h 2min,"Comedy, Romance",Jean-Pierre Jeunet,"A Very Long Engagement, Amélie, Delicatessen, Micmacs"
A Separation,2h 3min,Drama,Asghar Farhadi,"Darbareye Elly, The Salesman, A Separation, The Past"
1917,1h 59min,"Drama, Thriller, War",Sam Mendes,"1917, Road to Perdition, Skyfall, Revolutionary Road"
The Sting,2h 9min,"Comedy, Crime, Drama",George Roy Hill,"The Sting, Butch Cassidy and the Sundance Kid, Slap Shot, Slaughterhouse-Five"
Double Indemnity,1h 47min,"Crime, Drama, Film-Noir",Billy Wilder,"The Apartment, Some Like It Hot, Sabrina, Sunset Blvd."
Taxi Driver,1h 54min,"Crime, Drama",Martin Scorsese,"Taxi Driver, Mean Streets, Goodfellas, The Age of Innocence"
Metropolis,2h 33min,"Drama, Sci-Fi",Fritz Lang,"Contempt, Spies, M, Fury"
The Apartment,2h 5min,"Comedy, Drama, Romance",Billy Wilder,"The Apartment, Some Like It Hot, Sabrina, Sunset Blvd."
Dangal,2h 41min,"Action, Biography, Drama",Nitesh Tiwari,"Chhichhore, Dangal, Seeking True Love, Children's Party"
A Clockwork Orange,2h 16min,"Crime, Drama, Sci-Fi",Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Full Metal Jacket,1h 56min,"Drama, War",Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Lawrence of Arabia,3h 48min,"Adventure, Biography, Drama",David Lean,"Lawrence of Arabia, The Bridge on the River Kwai, Doctor Zhivago, A Passage to India"
The Kid,1h 8min,"Comedy, Drama, Family",Charles Chaplin,"The Great Dictator, Limelight, The Circus, Modern Times"
The Father,1h 37min,Drama,Florian Zeller,"The Father, The Son, Florida, The Other Woman"
Ikiru,2h 23min,Drama,Akira Kurosawa,"The Hidden Fortress, Ran, Kagemusha, Seven Samurai"
Eternal Sunshine of the Spotless Mind,1h 48min,"Drama, Romance, Sci-Fi",Michel Gondry,"Eternal Sunshine of the Spotless Mind, The Science of Sleep, Be Kind Rewind, The We and the I"
North by Northwest,2h 16min,"Adventure, Mystery, Thriller",Alfred Hitchcock,"Psycho, Vertigo, North by Northwest, Rope"
The Hunt,1h 55min,Drama,Thomas Vinterberg,"The Hunt, Another Round, The Celebration, Submarino"
Come and See,2h 22min,"Drama, Thriller, War",Elem Klimov,"Come and See, Rasputin, Pokhozhdeniya zubnogo vracha, Farewell"
Bicycle Thieves,1h 29min,Drama,Vittorio De Sica,"Bicycle Thieves, The Gold of Naples, Umberto D., Il Generale Della Rovere"
Singin' in the Rain,1h 43min,"Comedy, Musical, Romance",Stanley Donen,"Charade, Singin' in the Rain, Funny Face, Two for the Road"
Reservoir Dogs,1h 39min,"Crime, Drama, Thriller",Quentin Tarantino,"Reservoir Dogs, Pulp Fiction, From Dusk Till Dawn, Death Proof"
Requiem for a Dream,1h 42min,Drama,Darren Aronofsky,"Pi, Requiem for a Dream, The Fountain, Mother!"
Vertigo,2h 8min,"Mystery, Romance, Thriller",Alfred Hitchcock,"Psycho, Vertigo, North by Northwest, Rope"
